x,y,z
-22.856,15.204,-2.580
-22.611,15.805,-2.616
-22.370,16.393,-2.648
-22.071,16.973,-2.678
-21.639,17.471,-2.706
-21.091,17.838,-2.730
-20.465,18.048,-2.751
-19.777,18.080,-2.769
-19.050,18.048,-2.785
-18.269,18.007,-2.803
-17.269,17.952,-2.826
-16.158,17.889,-2.851
-15.047,17.824,-2.876
-14.048,17.764,-2.899
-13.268,17.716,-2.917
-12.546,17.665,-2.933
-11.917,17.571,-2.946
-11.328,17.314,-2.952
-10.825,16.915,-2.951
-10.440,16.400,-2.942
-10.201,15.804,-2.923
-10.122,15.166,-2.896
-10.208,14.530,-2.862
-10.433,13.897,-2.821
-10.682,13.285,-2.778
-10.928,12.680,-2.732
-11.174,12.075,-2.683
-11.420,11.470,-2.631
-11.666,10.865,-2.576
-11.912,10.260,-2.518
-12.158,9.656,-2.457
-12.404,9.051,-2.392
-12.650,8.446,-2.324
-12.895,7.843,-2.254
-13.138,7.245,-2.181
-13.381,6.647,-2.104
